CodeInsee;Gagnant
64069;LASSALLE
7018;MÉLENCHON
53011;MACRON
64070;LE PEN
9024;MÉLENCHON
65043;MÉLENCHON
21028;LE PEN
53012;MACRON
37008;LE PEN
70031;LE PEN
21029;FILLON
89022;LE PEN
54026;LE PEN
62042;LE PEN
80034;LE PEN
2028;LE PEN
51018;LE PEN
61007;LE PEN
91027;MÉLENCHON
64071;MACRON
95028;LE PEN
52021;LE PEN
68013;FILLON
59022;LE PEN
60025;LE PEN
1024;LE PEN
73022;MACRON
88015;LE PEN
8025;LE PEN
88016;LE PEN
57036;FILLON
2029;LE PEN
62044;LE PEN
54027;LE PEN
45011;LE PEN
70032;LE PEN
40016;MACRON
13005;LE PEN
21030;MÉLENCHON
30019;LE PEN
65044;MACRON
24014;MÉLENCHON
43011;FILLON
19013;MACRON
57037;LE PEN
61008;LE PEN
76028;LE PEN
7019;MÉLENCHON
4012;MÉLENCHON
26015;MÉLENCHON
59023;LE PEN
2030;LE PEN
2031;LE PEN
77010;LE PEN
52022;LE PEN
59024;LE PEN
80035;LE PEN
78029;MACRON
52023;FILLON
51019;LE PEN
38018;LE PEN
38019;LE PEN
76029;LE PEN
76030;LE PEN
59025;FILLON
64072;MACRON
14024;FILLON
76032;LE PEN
76033;LE PEN
93001;MÉLENCHON
10015;LE PEN
16020;MACRON
33017;LE PEN
47016;LE PEN
63013;MÉLENCHON
63014;MACRON
32012;MACRON
84004;LE PEN
7020;MÉLENCHON
35007;MACRON
79018;LE PEN
72013;LE PEN
49012;LE PEN
4013;LE PEN
3009;LE PEN
14025;LE PEN
79019;LE PEN
80036;LE PEN
59026;LE PEN
2032;LE PEN
62045;LE PEN
2033;MACRON
21031;LE PEN
21032;MACRON
85008;MACRON
8026;LE PEN
21033;LE PEN
18015;LE PEN
51020;FILLON
12013;MÉLENCHON
64073;MACRON
18016;LE PEN
62046;LE PEN
8027;LE PEN
25029;FILLON
30020;LE PEN
54028;MÉLENCHON
64074;MACRON
26016;LE PEN
55014;LE PEN
8028;MÉLENCHON
62047;LE PEN
59027;LE PEN
61010;FILLON
68014;MÉLENCHON
30021;LE PEN
23008;MACRON
61011;MACRON
63015;MÉLENCHON
80037;LE PEN
59028;LE PEN
22003;MÉLENCHON
31022;MACRON
82005;LE PEN
9025;MÉLENCHON
26017;MÉLENCHON
50019;LE PEN
32013;MACRON
85009;MACRON
62048;LE PEN
80038;LE PEN
62049;LE PEN
60026;LE PEN
62050;LE PEN
62051;LE PEN
59029;FILLON
65045;MÉLENCHON
64075;LASSALLE
39024;MACRON
52025;FILLON
62052;FILLON
33019;MACRON
3010;LE PEN
25030;MACRON
45012;LE PEN
29003;MACRON
2034;LE PEN
59031;LE PEN
40017;LE PEN
2035;LE PEN
25031;LE PEN
62053;LE PEN
62054;LE PEN
40018;MACRON
50021;FILLON
62055;LE PEN
9026;LE PEN
62056;LE PEN
14026;LE PEN
24015;MÉLENCHON
62057;LE PEN
54029;LE PEN
57038;MÉLENCHON
67014;LE PEN
78030;MACRON
76034;LE PEN
77011;LE PEN
78031;FILLON
8029;LE PEN
64077;MÉLENCHON
56006;MACRON
8030;FILLON
23009;FILLON
79020;MÉLENCHON
16339;MACRON
39025;LE PEN
39026;LE PEN
23010;MÉLENCHON
63016;LE PEN
60027;LE PEN
77012;LE PEN
45013;FILLON
70035;FILLON
24016;LE PEN
9027;MÉLENCHON
39027;LE PEN
63017;MÉLENCHON
32014;LE PEN
87004;MACRON
57039;LE PEN
61012;LE PEN
2036;LE PEN
89023;LE PEN
18017;FILLON
17023;LE PEN
30022;LE PEN
32015;MACRON
30023;LE PEN
52027;FILLON
46010;MACRON
26018;FILLON
30024;MÉLENCHON
63160;MACRON
63019;MACRON
10017;FILLON
17024;LE PEN
86013;FILLON
51022;LE PEN
45014;LE PEN
93005;MÉLENCHON
27023;LE PEN
51023;FILLON
78033;LE PEN
88017;LE PEN
55015;LE PEN
2037;LE PEN
57040;MACRON
77013;FILLON
59033;LE PEN
59032;LE PEN
52028;LE PEN
23011;MÉLENCHON
31023;MACRON
65046;MACRON
9028;MÉLENCHON
80039;LE PEN
9029;MACRON
70036;LE PEN
17025;FILLON
76035;LE PEN
80040;LE PEN
34016;MÉLENCHON
51025;LE PEN
62058;LE PEN
34017;LE PEN
30025;MÉLENCHON
57041;MÉLENCHON
50022;FILLON
39028;MÉLENCHON
80041;LE PEN
60028;FILLON
39029;LE PEN
16023;LE PEN
11019;MÉLENCHON
58017;LE PEN
61013;FILLON
28013;LE PEN
28014;LE PEN
28015;LE PEN
60029;LE PEN
61014;MACRON
61015;FILLON
76036;LE PEN
83007;LE PEN
32016;MACRON
47017;LE PEN
31024;MÉLENCHON
56007;MACRON
8031;FILLON
43012;LE PEN
87005;MACRON
40019;MACRON
65047;MÉLENCHON
13006;LE PEN
26019;MÉLENCHON
84005;LE PEN
32017;LASSALLE
65048;MÉLENCHON
14591;MACRON
31025;MACRON
11020;MÉLENCHON
19014;MÉLENCHON
64078;MACRON
24018;MÉLENCHON
12015;MACRON
15013;MACRON
47018;FILLON
31026;MÉLENCHON
23012;LE PEN
31027;LE PEN
84006;MACRON
6007;LE PEN
40020;MACRON
65049;LE PEN
63020;MACRON
31028;MACRON
15014;MACRON
32018;MÉLENCHON
31029;LE PEN
13007;LE PEN
