codegeo;libgeo;Gagnant;pop1-0;nb_ecoles_publique1-0;nb_ecoles_publique/pop1-0;nb_ecoles_prive1-0;nb/ecoles_prive/pop1-0;nb_ecoles_totale1-0;nb_ecoles_totale/pop1-0;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021  1-0;somme_tauxpourmille_crime 1-0;Taux_Chomage 1-0;Points;Points 0-1
22136;Loudéac;MACRON;0,00085022;0;0,014595541;0;0;0,003558719;0,010614939;0;0,004816307;#VALEUR!;0;0
22137;Maël-Carhaix;MACRON;0,001029238;0;0,01205803;0,018518519;0,032154745;0,007117438;0,017538952;0;0,004814644;0,078730905;0,178481259;0,065982851
22138;Maël-Pestivien;MÉLENCHON;0,00056062;0;0,022129094;0;0;0,003558719;0,016093887;0,035;0,004813423;0,1386604;0,217257424;0,080318036
22139;Magoar;MÉLENCHON;0,001767062;0;0,007024566;0,018518519;0,018732175;0,007117438;0,01021757;0;0,004813015;0,083431257;0,14471782;0,053500824
22140;La Malhoure;LE PEN;0,000987089;0;0,01257266;0;0;0,003558719;0,009143753;0;0,004809624;0,12573443;0,153247556;0,056654187
22141;Mantallot;MÉLENCHON;0,000490372;0;0,025296244;0;0;0,003558719;0,018397268;0;0,00480679;0,135135135;0,184125809;0,068069588
22143;Matignon;MACRON;0,000471337;0;0,026316849;0;0;0,003558719;0,019139526;0,006;0,004806098;0,16333725;0,22007106;0,081358211
22144;La Méaugon;MACRON;0,000896448;0,01;0,027686531;0;0;0,007117438;0,020135659;0;0,004806085;0,101057579;0,154582302;0,05714763
22145;Mégrit;LE PEN;0,000683893;0;0,018142945;0,018518519;0,048381188;0,007117438;0,026389719;0;0,004803273;0,095182139;0,241964345;0,089451954
22146;Mellionnec;MÉLENCHON;0,000452756;0;0,027395833;0;0;0,003558719;0,019924242;0;0,004801349;0,118683901;0,171258081;0,06331251
22147;Merdrignac;MACRON;0,000563792;0;0,02200469;0;0;0,003558719;0,016003411;0;0,004801271;0,132784959;0,176158123;0,06512401
22148;Mérillac;FILLON;0,000868802;0;0;0,018518519;0,038089413;0,003558719;0,010388022;0;0,004798574;0,129259694;0,221493918;0,081884229
22149;Merléac;MÉLENCHON;0,001113082;0;0,011150104;0,018518519;0,029733611;0,007117438;0,016218353;0;0,004796113;0,124559342;0,217304216;0,080335335
22150;Le Merzer;MACRON;0,001008843;0;0,012301688;0;0;0,003558719;0,008946682;0;0,004791861;0,094007051;0,121056125;0,044753317
22152;Minihy-Tréguier;MACRON;0,000543398;0;0,022829852;0;0;0,003558719;0,016603529;0;0,004789533;0,077555817;0,122322129;0,045221346
22153;Moncontour;MACRON;0,00034036;0;0,036430623;0;0;0,003558719;0,026494999;0;0,004788337;0,206815511;0,27486983;0,101616804
22155;La Motte;MACRON;0,000606847;0;0,020444661;0;0;0,003558719;0,014868844;0;0,004785671;0,110458284;0,151164307;0,05588403
22156;Moustéru;MÉLENCHON;0,000585546;0;0,021187801;0;0;0,003558719;0,015409309;0;0,004784394;0,085781434;0,127748484;0,047227419
22157;Le Moustoir;MACRON;0,000811698;0;0,015287861;0;0;0,003558719;0,011118445;0;0,004783287;0,105757932;0,137759223;0,050928296
22158;Guerlédan;MACRON;0,000319966;0;0,038749407;0;0;0,003558719;0,028181386;0;0,004781858;0,162162162;0,234194779;0,086579618
22160;Noyal;MACRON;0,000605941;0;0,020475208;0;0;0,003558719;0,01489106;0;0,004778389;0,143360752;0,18411135;0,068064243
