codegeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021;somme_tauxpourmille;Gagnant
89406;Talcy;0.0;0.0;0.0;0;0.0;FILLON
89407;Tanlay;1.0;0.0;1.0;0;0.0;LE PEN
89408;Tannerre-en-Puisaye;0.0;0.0;0.0;4,1;0.0;LE PEN
89409;Tharoiseau;0.0;0.0;0.0;0;0.0;FILLON
89410;Tharot;0.0;0.0;0.0;0;0.0;MACRON
89411;Les Vallées de la Vanne;2.0;0.0;2.0;0;0.0;LE PEN
89412;Thizy;1.0;0.0;1.0;0;0.0;LE PEN
89413;Thorey;0.0;0.0;0.0;0;0.0;LE PEN
89414;Thorigny-sur-Oreuse;1.0;0.0;1.0;0;12.504643109625317;LE PEN
89415;Thory;1.0;0.0;1.0;0;0.0;FILLON
89416;Thury;1.0;0.0;1.0;0;0.0;LE PEN
89417;Tissey;0.0;0.0;0.0;0;0.0;FILLON
89418;Tonnerre;3.0;0.0;3.0;0;121.80208042228487;LE PEN
89419;Toucy;1.0;0.0;1.0;0;115.68453268460668;LE PEN
89420;Treigny-Perreuse-Sainte-Colombe;1.0;0.0;1.0;0;7.944389275074478;LE PEN
89422;Trichey;0.0;0.0;0.0;43,1;0.0;MACRON
89423;Tronchoy;1.0;0.0;1.0;0;0.0;LE PEN
89424;Trucy-sur-Yonne;0.0;0.0;0.0;0;0.0;MACRON
89425;Turny;1.0;0.0;1.0;0;0.0;LE PEN
89426;Val-de-Mercy;1.0;0.0;1.0;0;0.0;LE PEN
89427;Vallan;1.0;0.0;1.0;0;0.0;LE PEN
89428;Vallery;1.0;0.0;1.0;0;0.0;LE PEN
89430;Varennes;1.0;0.0;1.0;0;0.0;LE PEN
89431;Vassy-sous-Pisy;0.0;0.0;0.0;0;0.0;LE PEN
89432;Vaudeurs;1.0;0.0;1.0;0;0.0;LE PEN
89433;Vault-de-Lugny;0.0;0.0;0.0;0;0.0;FILLON
89434;Vaumort;1.0;0.0;1.0;0;0.0;LE PEN
89436;Venizy;1.0;0.0;1.0;0;5.740528128587831;LE PEN
89437;Venouse;1.0;0.0;1.0;0;0.0;LE PEN
89438;Venoy;1.0;0.0;1.0;0;20.312092801525505;LE PEN
89439;Vergigny;1.0;0.0;1.0;0;23.979105907964247;LE PEN
89440;Verlin;0.0;0.0;0.0;0;0.0;LE PEN
89441;Vermenton;1.0;0.0;1.0;3;30.01212121212121;LE PEN
89442;Vernoy;0.0;0.0;0.0;0;0.0;LE PEN
89443;Véron;1.0;0.0;1.0;0;5.245137320609019;LE PEN
89445;Vézannes;0.0;0.0;0.0;0;0.0;LE PEN
89446;Vézelay;1.0;0.0;1.0;0;0.0;MACRON
89447;Vézinnes;0.0;0.0;0.0;0;0.0;LE PEN
89449;Villeblevin;1.0;0.0;1.0;0;40.06196717077392;LE PEN
89450;Villebougis;1.0;0.0;1.0;0;0.0;LE PEN
89451;Villechétive;1.0;0.0;1.0;0;0.0;LE PEN
89452;Villecien;0.0;0.0;0.0;0;0.0;LE PEN
89453;Villefargeau;1.0;0.0;1.0;0;0.0;MACRON
89456;Villemanoche;1.0;0.0;1.0;0;0.0;LE PEN
89458;Villenavotte;0.0;0.0;0.0;0;0.0;LE PEN
89459;Villeneuve-la-Dondagre;0.0;0.0;0.0;0;0.0;LE PEN
89460;Villeneuve-la-Guyard;1.0;0.0;1.0;0;84.57176369974417;LE PEN
89461;Villeneuve-l'Archevêque;1.0;0.0;1.0;0;28.214340230731583;LE PEN
89462;Villeneuve-les-Genêts;1.0;0.0;1.0;0,4;0.0;LE PEN
89463;Villeneuve-Saint-Salves;1.0;0.0;1.0;0;0.0;FILLON
89464;Villeneuve-sur-Yonne;2.0;1.0;3.0;0;114.66683231290524;LE PEN
89465;Villeperrot;0.0;0.0;0.0;0;0.0;LE PEN
89466;Villeroy;0.0;0.0;0.0;0;0.0;MACRON
89467;Villethierry;0.0;0.0;0.0;0;0.0;LE PEN
89468;Villevallier;1.0;0.0;1.0;0;0.0;LE PEN
89469;Perceneige;1.0;0.0;1.0;0;0.0;LE PEN
89470;Villiers-les-Hauts;0.0;0.0;0.0;0;0.0;FILLON
89471;Villiers-Louis;1.0;0.0;1.0;0;0.0;LE PEN
89472;Villiers-Saint-Benoît;1.0;0.0;1.0;0;0.0;LE PEN
89474;Villiers-Vineux;1.0;0.0;1.0;0;0.0;LE PEN
89475;Villon;0.0;0.0;0.0;0;0.0;LE PEN
89477;Villy;0.0;0.0;0.0;0;0.0;LE PEN
89478;Vincelles;1.0;0.0;1.0;0;7.658643326039387;LE PEN
89479;Vincelottes;0.0;0.0;0.0;0;0.0;LE PEN
89480;Vinneuf;1.0;0.0;1.0;0;26.31384096460876;LE PEN
89481;Vireaux;0.0;0.0;0.0;0;0.0;LE PEN
89482;Viviers;0.0;0.0;0.0;0;0.0;LE PEN
89483;Voisines;1.0;0.0;1.0;0;0.0;LE PEN
89485;Voutenay-sur-Cure;0.0;0.0;0.0;0;0.0;LE PEN
89486;Yrouerre;0.0;0.0;0.0;0;0.0;LE PEN
90001;Andelnans;1.0;0.0;1.0;0;56.07609785833012;LE PEN
90002;Angeot;0.0;0.0;0.0;0;0.0;LE PEN
90003;Anjoutey;1.0;0.0;1.0;0;0.0;LE PEN
90004;Argiésans;1.0;0.0;1.0;0;0.0;LE PEN
90005;Auxelles-Bas;1.0;0.0;1.0;0;0.0;LE PEN
90006;Auxelles-Haut;1.0;0.0;1.0;0;0.0;MÉLENCHON
90007;Banvillars;1.0;0.0;1.0;0;0.0;FILLON
90008;Bavilliers;1.0;0.0;1.0;0;51.92935772826332;LE PEN
90009;Beaucourt;2.0;0.0;2.0;0;46.93287402953469;LE PEN
90010;Belfort;15.0;3.0;18.0;0;103.19401608984502;MÉLENCHON
90011;Bermont;0.0;0.0;0.0;0;0.0;MACRON
90012;Bessoncourt;1.0;0.0;1.0;0;39.32411674347159;MACRON
90013;Bethonvilliers;0.0;0.0;0.0;0;0.0;LE PEN
90014;Boron;1.0;0.0;1.0;0;0.0;LE PEN
90015;Botans;0.0;0.0;0.0;0;0.0;LE PEN
90016;Bourg-sous-Châtelet;0.0;0.0;0.0;0;0.0;MACRON
90017;Bourogne;1.0;0.0;1.0;0;27.72472625413802;LE PEN
90018;Brebotte;1.0;0.0;1.0;0;0.0;LE PEN
